Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
E3 ubiquitin-protein ligase CBL-B;Amino Acid, Peptide, or Protein;4;0
Bax protein (53-86);Amino Acid, Peptide, or Protein;4;0
recombinant soluble human CD4 protein;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
hispolon;Organic Chemicals;4;0
CTNNA3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
metallocene;Pharmacologic Substance, Inorganic Chemical;4;0
Rose oil;Lipid, Pharmacologic Substance;4;0
Krypton;Pharmacologic Substance, Element, Ion, or Isotope;4;0
Tantalum;Element, Ion, or Isotope;4;0
integrin alpha4beta7;Amino Acid, Peptide, or Protein, Receptor;4;0
CD8 receptor;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
hexadecanal dehydrogenase (acylating);Amino Acid, Peptide, or Protein, Enzyme;4;0
Heterogeneous-Nuclear Ribonucleoprotein L;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Acid-sensing ion channel 1;Amino Acid, Peptide, or Protein;4;0
cellular plasminogen activator;Amino Acid, Peptide, or Protein, Enzyme;4;0
poly-N-acetyllactosamine;Carbohydrate;4;0
CRM197 (non-toxic variant of diphtheria toxin);Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
glutamate-gated chloride channel;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
ginsenoside Rc;Steroid;4;0
laminin-8;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
urgosedin;Organic Chemicals;4;0
somatostatin receptor sst2A;Amino Acid, Peptide, or Protein, Receptor;4;0
Receptors, Lysophospholipid;Amino Acid, Peptide, or Protein, Receptor;4;0
endothelin converting enzyme-1a;Amino Acid, Peptide, or Protein, Enzyme;4;0
ornithine containing aminolipid;Amino Acid, Peptide, or Protein, Lipid;4;0
sometribove;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;4;0
Small T-Antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
CR 6;Organic Chemicals, Biologically Active Substance;4;0
FC 43;Organic Chemicals;4;0
Gamma-protocadherins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
TRIP10 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Latent TGF-beta Binding Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Ternary Complex Factors;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
DNA topoisomerase II alpha;Amino Acid, Peptide, or Protein, Enzyme;4;0
Amyloid beta 42 peptide;Amino Acid, Peptide, or Protein;4;0
thioredoxin reductase 1;Amino Acid, Peptide, or Protein, Enzyme;4;0
biotin carboxyl carrier protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
2',3'-dialdehyde ATP;Nucleic Acid, Nucleoside, or Nucleotide;4;0
Procollagen Type IV;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
zonula occludens-1 protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
1,1,3,3-tetramethylurea;Organic Chemicals;4;0
monocyte locomotion inhibitory factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Endochitinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Hydrochloric acid solution;Pharmacologic Substance, Inorganic Chemical;4;0
connexin 45;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
clathrin assembly protein AP180;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
substrate adhesion molecules;Amino Acid, Peptide, or Protein;4;0
Polynucleotide 5'-Hydroxyl-Kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
cholecystokinin 39;Amino Acid, Peptide, or Protein;4;0
protachykinin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
D-Xylulose reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
N-glycolylneuraminyllactosylceramide;Lipid, Receptor;4;0
ferrous chloride;Pharmacologic Substance, Inorganic Chemical;4;0
Vesicular Biogenic Amine Transport Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Thomas' solution;Organic Chemicals, Biologically Active Substance;4;0
prostate stem cell antigen;Amino Acid, Peptide, or Protein;4;0
bone morphogenetic protein 5;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
F1F0-ATP synthase;Amino Acid, Peptide, or Protein, Enzyme;4;0
thanatin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Kanamycin Kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Glutamate receptor ionotropic, NMDA 2A;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 2B;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 2B;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 2B;Amino Acid, Peptide, or Protein;4;0
Benzamidines;Organic Chemicals;4;0
estrone-3-glucuronide;Steroid;4;0
Stromal Cell-Derived Factor-1beta;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
catalposide;Carbohydrate, Pharmacologic Substance;4;0
gamma-Caseins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
tyrosyltubulin carboxypeptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
P2 peptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
MAGEA3 protein, human;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
prefoldin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Calcium Fluoride;Pharmacologic Substance, Inorganic Chemical;4;0
aquacobalamin reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Glucuronates;Carbohydrate;4;0
rhodamine-phalloidin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
protein C activator peptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
zona pellucida glycoprotein ZP1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
phosphocitrate;Organic Chemicals;4;0
apolipophorin III;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
phospholipomannan;Lipid;4;0
gamma-glutamylglycine;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
aluminum phosphate;Pharmacologic Substance, Inorganic Chemical;4;0
bis(monoacylglyceryl)phosphate;Lipid, Biologically Active Substance;4;0
Hemagglutinins, Viral;Immunologic Factor;4;0
cellulose sulfate;Carbohydrate;4;0
4-nitrophenyl-alpha-glucosidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
iron hydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
adenylyl cyclase 8;Amino Acid, Peptide, or Protein, Enzyme;4;0
cyclosporin H;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
arginine esterase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Amidophosphoribosyltransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
prolactin-binding protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
hemichrome;Amino Acid, Peptide, or Protein;4;0
RTN4 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
citraconic anhydride;Organic Chemicals;4;0
heparin disaccharide;Carbohydrate;4;0
dentilisin;Amino Acid, Peptide, or Protein, Enzyme;4;0
nephrocalcin;Amino Acid, Peptide, or Protein, Carbohydrate;4;0
lymphokine receptor;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;4;0
carnosine synthetase;Amino Acid, Peptide, or Protein, Enzyme;4;0
AmphiEn protein, Branchiostoma floridae;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
vesamicol receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
C4bp complement protein;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;4;0
fasciclin I;Amino Acid, Peptide, or Protein;4;0
beta-(5-hydroxy-2-pyridyl)alanine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
spinasterol;Steroid, Pharmacologic Substance, Biologically Active Substance;4;0
Mitogen-Activated Protein Kinase 11;Amino Acid, Peptide, or Protein, Enzyme;4;0
Synaptotagmin IX;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Streptolysins;Biologically Active Substance;4;0
beta-aminoglutaric acid;Amino Acid, Peptide, or Protein;4;0
lactate dehydrogenase C4;Amino Acid, Peptide, or Protein, Enzyme;4;0
dispase;Amino Acid, Peptide, or Protein, Enzyme;4;0
factor XIIa inhibitor;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
phenylhydroxylamine;Organic Chemicals;4;0
tRNA-arginine complex;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein;4;0
albaconol;Organic Chemicals, Biologically Active Substance;4;0
fucoxanthinol;Organic Chemicals;4;0
apoaequorin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Heterogeneous-Nuclear Ribonucleoprotein D;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
panitumumab;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
acidic isoferritin;Amino Acid, Peptide, or Protein;4;0
ponasterone A;Steroid, Hormone;4;0
Pulmonary Surfactant-Associated Protein C;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
malonic acid;Organic Chemicals, Biologically Active Substance;4;0
Factor VIII Procoagulant Activity;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
morroniside;Carbohydrate;4;0
Serpina4 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
B cell linker protein;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
beta-galactoside alpha-2,3-sialyltransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
androstan-17-one;Steroid;4;0
Ytterbium;Pharmacologic Substance, Element, Ion, or Isotope;4;0
GNRHR protein, human;Amino Acid, Peptide, or Protein, Receptor;4;0
high density lipoprotein-1;Amino Acid, Peptide, or Protein, Lipid, Biologically Active Substance;4;0
rab3 GTP-Binding Proteins;Amino Acid, Peptide, or Protein, Enzyme;4;0
osteogenic growth peptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
asialotransferrins;Amino Acid, Peptide, or Protein;4;0
Glutathione S-Transferase P;Amino Acid, Peptide, or Protein, Enzyme;4;0
Slc28a2 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Argininosuccinate;Organic Chemicals, Biologically Active Substance;4;0
proteodermatan sulfate;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Antigens, CD24;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
HCG, deglycosylated;Amino Acid, Peptide, or Protein;4;0
Glucose-6-phosphate translocase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Keratin Antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Organic Anion Transport Protein 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
perillic acid;Organic Chemicals;4;0
isoleucyl-lysyl-valyl-alanyl-valine;Amino Acid, Peptide, or Protein;4;0
Recombinant Inhibins;Amino Acid, Peptide, or Protein, Hormone;4;0
beta-crystallin B2;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Proto-Oncogene Proteins c-hck;Amino Acid, Peptide, or Protein, Enzyme;4;0
pyrokinin;Amino Acid, Peptide, or Protein;4;0
Suppressor Factors, Immunologic;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Agmatine kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
neuregulin 2;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
MADD protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Mbp protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
N,N,N'-trimethyl-N'-(2-hydroxy-3-methyl-5-iodobenzyl)-1,3-propanediamine;Organic Chemicals;4;0
oxalate oxidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
S100A1 protein;Amino Acid, Peptide, or Protein, Receptor;4;0
ectodysplasin A protein;Amino Acid, Peptide, or Protein, Receptor;4;0
NOVA1 protein, human;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
beta-methylene-DL-aspartate;Amino Acid, Peptide, or Protein;4;0
BM-1, platelet aggregation inhibitor;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
spinell;Inorganic Chemical;4;0
CD38 Antigen;Amino Acid, Peptide, or Protein, Enzyme, Immunologic Factor;4;0
levansucrase;Amino Acid, Peptide, or Protein, Enzyme;4;0
mindin;Amino Acid, Peptide, or Protein;4;0
lipoamidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
monomethyl succinate;Organic Chemicals;4;0
SMAD4 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
suilysin;Biologically Active Substance;4;0
spermadhesin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Epidermal Growth Factor Receptor Pathway Substrate 15;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Oxamic Acid;Amino Acid, Peptide, or Protein;4;0
Adenomatous Polyposis Coli Like Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Glutamate decarboxylase 65;Amino Acid, Peptide, or Protein, Enzyme;4;0
beta-Trypsin;Amino Acid, Peptide, or Protein, Enzyme;4;0
Surface alpha;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
nitrobenzanthrone;Organic Chemicals;4;0
Hepatitis B virus core;Immunologic Factor;4;0
estradiol 17-dihydrotrigonelline;Organic Chemicals;4;0
GLI Family Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
PD 81723;Organic Chemicals;4;0
colligin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
fibroblast growth factor-14;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
PSMD10 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
cryptococcal polysaccharide;Carbohydrate;4;0
antimonite;Element, Ion, or Isotope;4;0
diphtheria toxin fragment A;Amino Acid, Peptide, or Protein;4;0
Scandium;Element, Ion, or Isotope;4;0
vibriobactin;Organic Chemicals;4;0
Cerebral Cavernous Malformations 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
RNA, Messenger, Maternal;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;4;0
serratiopeptidase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;4;0
low molecular weight-B cell growth factor;Amino Acid, Peptide, or Protein;4;0
myo-inositol-trisphosphate 3-kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
alpha-conotoxin MII;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Cytidine Monophosphate N-Acetylneuraminic Acid;Nucleic Acid, Nucleoside, or Nucleotide, Lipid;4;0
Metallothionein IIA;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Saccharopine Dehydrogenases;Amino Acid, Peptide, or Protein, Enzyme;4;0
LGALS1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Fructosediphosphate Aldolase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Metals, Alkaline Earth;Element, Ion, or Isotope;4;0
Nogo protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
cathepsin Z;Amino Acid, Peptide, or Protein, Enzyme;4;0
Saposin C;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
magnesium chelatase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Estradiol / Testosterone;Steroid, Hormone;4;0
testosterone acetate;Steroid;4;0
phosphatidylinositol mannoside;Lipid;4;0
maltotriose;Carbohydrate;4;0
protease IV;Amino Acid, Peptide, or Protein, Enzyme;4;0
FHIT protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
GALR1 Galanin Receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
Prnp protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
deacetyldiltiazem;Organic Chemicals;4;0
Homer 1;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
Spermidine Synthase;Amino Acid, Peptide, or Protein, Enzyme;4;0
O-sialoglycoprotein endopeptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
MSMB protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
immunoglobulin D receptor;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;4;0
Ciliary Neurotrophic Factor Receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
LMP-2 protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
peptide P3;Amino Acid, Peptide, or Protein;4;0
thyroid hormone binding protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
VAV3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
monoiodoapamin;Amino Acid, Peptide, or Protein;4;0
alanylalanine;Amino Acid, Peptide, or Protein;4;0
WNT4 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
neotetrazolium;Organic Chemicals;4;0
3-Hydroxyacyl-CoA dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
mannitol-1-phosphate dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
glucose-regulated protein 170;Amino Acid, Peptide, or Protein, Carbohydrate;4;0
benzyloxyresorufin;Organic Chemicals;4;0
CDS-E2;Organic Chemicals;4;0
chondroitin sulfate glycosaminoglycan;Carbohydrate;4;0
Plakins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Pigeon serum;Immunologic Factor;4;0
Rab guanine nucleotide dissociation inhibitor;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Uridine Diphosphate N-Acetylgalactosamine;Nucleic Acid, Nucleoside, or Nucleotide, Carbohydrate;4;0
epigen;Amino Acid, Peptide, or Protein;4;0
araban;Carbohydrate;4;0
callose;Carbohydrate;4;0
KTN1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Double-Stranded RNA-Binding Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Re-glycolipid;Lipid;3;0
Calcium carbonate crystals;Inorganic Chemical;3;0
Multidrug resistance protein 1;Amino Acid, Peptide, or Protein;3;0
Sodium channel protein type 5 subunit alpha;Amino Acid, Peptide, or Protein;3;0
Voltage-dependent L-type calcium channel subunit alpha-1S;Amino Acid, Peptide, or Protein;3;0
ubiquinone 7;Amino Acid, Peptide, or Protein, Biologically Active Substance;3;0
Proto-Oncogene Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;3;0
dexloxiglumide;Lipid;3;0
hirsutine;Organic Chemicals, Biologically Active Substance;3;0
Endomucins;Amino Acid, Peptide, or Protein, Biologically Active Substance;3;0
pegaspargase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;3;0
Tissue factor;Amino Acid, Peptide, or Protein;3;0
NAD-dependent protein deacylase sirtuin-5, mitochondrial;Amino Acid, Peptide, or Protein;3;0
HLA-DR10 antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;3;0
hydroimidazolone;Organic Chemicals;3;0
Dipropyl Acetate;Lipid, Pharmacologic Substance;3;0
NADH-ubiquinone oxidoreductase chain 1;Amino Acid, Peptide, or Protein;3;0
4-hexyloxyaniline;Organic Chemicals;3;0
Bromodomain Containing Protein 2;Amino Acid, Peptide, or Protein, Enzyme;3;0
Erythrityl Tetranitrate;Carbohydrate, Pharmacologic Substance;3;0
Ovral;Steroid, Pharmacologic Substance, Hormone;3;0
beta-methylcholine;Organic Chemicals;3;0
Voltage-dependent P/Q-type calcium channel subunit alpha-1A;Amino Acid, Peptide, or Protein;3;0
mepolizumab;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;3;0
Pitocin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;3;0
Cullin 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;3;0
Cullin Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;3;0
Purkinje cell antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;3;0
Arabinofuranosyluracil;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;3;0
